# Description,Subject,Start Date, End Time
ENG020 Summit Public Speaking ,3.07 Journal: Managing Nerves - Helpful Distractions ,2019-10-17,8:59 PM
HST413 Summit US and Global Economics ,2.12 Quiz: Business Models and Model Businesses Part 3 ,2019-10-17,8:59 PM
ENG403A Summit British and World Literature ,Unit 3 writing skills mini lesson ,2019-10-18,11:00 AM
OTH020A Summit Physical Education ,5.05: Day 5 Get to It! ,2019-10-18,8:59 PM
OTH020A Summit Physical Education ,4.05 Quiz: Day 5 Get to It! ,2019-10-18,8:59 PM
OTH020A Summit Physical Education ,4.05 Journal: Get to It! ,2019-10-18,8:59 PM
HST403 Summit US Government and Politics ,3.02 Graded Assignment: The Federal Web ,2019-10-18,8:59 PM
ENG020 Summit Public Speaking ,3.01 Graded Assignment: The Impact of Personal Narratives ,2019-10-18,8:59 PM
HST413 Summit US and Global Economics ,2.12 Graded Assignment: Practice - A Business Model ,2019-10-18,8:59 PM
HST413 Summit US and Global Economics ,Week 05_Supply and Demand ,2019-10-21,12:30 AM
OTH020A Summit Physical Education ,6.01: Avoiding Injuries ,2019-10-21,8:59 PM
OTH020A Summit Physical Education ,6.02: Day 2 Get to It! ,2019-10-21,8:59 PM
OTH020A Summit Physical Education ,5.01 Quiz: Nutrition and Hydration ,2019-10-21,8:59 PM
HST403 Summit US Government and Politics ,3.05 Graded Assignment: Does Congress Look Like America? ,2019-10-21,8:59 PM
HST403 Summit US Government and Politics ,3.05 Quiz: Congress Part 3 ,2019-10-21,8:59 PM
ENG020 Summit Public Speaking ,3.08: Discuss: Make a Speech ,2019-10-21,8:59 PM
HST413 Summit US and Global Economics ,2.14: The Players Unit Test ,2019-10-21,8:59 PM
HST413 Summit US and Global Economics ,2.14 Unit Test: The Players - Part 1 ,2019-10-21,8:59 PM
HST413 Summit US and Global Economics ,2.14 Unit Test: The Players - Part 2 ,2019-10-21,8:59 PM
HST403 Summit US Government and Politics ,WK 4 National Government ,2019-10-21,8:59 PM
OTH020A Summit Physical Education ,6.03: Day 3 Get to It! ,2019-10-22,8:59 PM
OTH020A Summit Physical Education ,5.02 Quiz: Day 2 Get to It! ,2019-10-22,8:59 PM
HST403 Summit US Government and Politics ,3.05 Graded Assignment: Gerrymandering and Pork-Barrel Spending ,2019-10-22,8:59 PM
HST403 Summit US Government and Politics ,3.06 Quiz: The Presidency ,2019-10-22,8:59 PM
ENG403A Summit British and World Literature ,3.06 Graded Assignment: Writing Skills - Responding to a Prompt Session 2 ,2019-10-22,8:59 PM
OTH020A Summit Physical Education ,6.04: Day 4 Get to It! ,2019-10-23,8:59 PM
OTH020A Summit Physical Education ,5.03 Quiz: Day 3 Get to It! ,2019-10-23,8:59 PM
HST403 Summit US Government and Politics ,3.07 Graded Assignment: Presidential Power ,2019-10-23,8:59 PM
ENG020 Summit Public Speaking ,3.09 Graded Assignment: View Reflect and Plan ,2019-10-23,8:59 PM
ENG403A Summit British and World Literature ,3.07 Unit Test: Critical Skills Practice 1 ,2019-10-23,8:59 PM
HST413 Summit US and Global Economics ,3.02 Quiz: Supply and Demand: It’s the Law Part 2 ,2019-10-23,8:59 PM
HST413 Summit US and Global Economics ,3.02 Graded Assignment: Practice - Consumer Behavior ,2019-10-23,8:59 PM
OTH020A Summit Physical Education ,6.05: Day 5 Get to It! ,2019-10-24,8:59 PM
OTH020A Summit Physical Education ,5.04 Quiz: Day 4 Get to It! ,2019-10-24,8:59 PM
HST403 Summit US Government and Politics ,3.09 Discussion: From the Government and Here to Help You ,2019-10-24,8:59 PM
ENG403A Summit British and World Literature ,Narratives mini lesson ,2019-10-25,11:00 AM
OTH020A Summit Physical Education ,7.01: Judging Media Images and Marketing Claims ,2019-10-25,8:59 PM
OTH020A Summit Physical Education ,5.05 Quiz: Day 5 Get to It! ,2019-10-25,8:59 PM
OTH020A Summit Physical Education ,5.05 Journal: Get to It! ,2019-10-25,8:59 PM
HST403 Summit US Government and Politics ,3.10 Graded Assignment: Federal Jobs ,2019-10-25,8:59 PM
HST403 Summit US Government and Politics ,3.10 Quiz: The Executive Branch Part 3 ,2019-10-25,8:59 PM
HST413 Summit US and Global Economics ,3.04 Quiz: Get a Job Part 2 ,2019-10-25,8:59 PM
HST413 Summit US and Global Economics ,3.04 Graded Assignment: Practice - You Do the Math ,2019-10-25,8:59 PM
